#{"t_start": 1702104075.460168, "env_id": "None"}
r,l,t
900.0,626,0.316969
730.0,87,0.344127
620.0,148,0.373253
1950.0,58,0.391533
580.0,46,0.409116
-460.0,141,0.439404
810.0,373,0.490724
-460.0,341,0.539205
-420.0,263,0.841119
-350.0,126,0.867967
590.0,51,0.887821
680.0,256,0.928785
640.0,164,0.958399
750.0,105,0.981683
1040.0,172,1.011582
690.0,273,1.052185
-290.0,138,1.080528
720.0,100,1.10301
2200.0,89,1.125059
1070.0,167,1.153844
-330.0,144,1.180755
740.0,114,1.20471
830.0,179,1.493632
960.0,342,1.544307
1930.0,168,1.574316
1860.0,109,1.597843
-380.0,37,1.613504
750.0,129,1.642883
-340.0,243,1.685915
740.0,156,1.715897
850.0,129,1.74141
640.0,92,1.762747
-420.0,89,1.78468
1970.0,394,1.837405
-310.0,242,2.130464
700.0,218,2.167417
2310.0,218,2.202159
-320.0,199,2.235243
670.0,131,2.26103
940.0,76,2.280712
-320.0,77,2.302035
2110.0,480,2.365048
1030.0,129,2.391136
1930.0,38,2.406731
-340.0,83,2.431114
-360.0,167,2.468467
970.0,117,2.762434
720.0,322,2.810347
2230.0,142,2.840277
890.0,89,2.861766
560.0,324,2.908098
1060.0,106,2.932144
1150.0,293,2.976386
-410.0,390,3.032995
670.0,89,3.056415
680.0,90,3.083225
850.0,91,3.105578
700.0,296,3.416302
730.0,187,3.452239
740.0,54,3.472097
970.0,311,3.520584
2040.0,51,3.538587
750.0,463,3.601963
800.0,228,3.63946
900.0,152,3.671096
860.0,94,3.696333
720.0,38,3.713939
850.0,299,4.049372
700.0,152,4.079633
660.0,468,4.1472
-320.0,195,4.181436
-350.0,464,4.25026
-270.0,100,4.276458
780.0,88,4.299837
890.0,67,4.320537
-340.0,125,4.347774
650.0,217,4.385094
800.0,120,4.411034
650.0,103,4.702947
-320.0,77,4.725211
690.0,153,4.754526
690.0,139,4.783775
-350.0,234,4.825886
920.0,274,4.873444
700.0,32,4.889862
810.0,155,4.92329
1130.0,551,4.996495
1030.0,125,5.024824
770.0,131,5.051677
830.0,201,5.34845
-280.0,47,5.367143
1080.0,220,5.40356
800.0,102,5.425683
820.0,172,5.454914
1890.0,486,5.516046
810.0,749,5.604483
2050.0,348,5.907992
1000.0,180,5.93975
1060.0,82,5.960055
950.0,231,5.996306
-340.0,95,6.017862
710.0,181,6.047936
-400.0,247,6.084831
810.0,69,6.103456
690.0,133,6.130049
-480.0,91,6.150957
2150.0,110,6.175038
730.0,245,6.212732
-340.0,229,6.502653
910.0,61,6.522263
-400.0,287,6.564893
760.0,420,6.619104
1110.0,81,6.638952
1980.0,105,6.665525
1190.0,107,6.688175
690.0,535,6.754455
710.0,137,6.780451
820.0,114,6.806837
870.0,65,6.825219
1090.0,39,6.84075
940.0,124,7.131173
890.0,65,7.152859
-270.0,72,7.174613
1000.0,398,7.23096
720.0,212,7.268324
780.0,56,7.289033
880.0,104,7.313618
1110.0,97,7.33756
680.0,364,7.392192
900.0,496,7.458623
2150.0,150,7.753823
930.0,61,7.774492
2160.0,249,7.816246
-380.0,111,7.846403
1010.0,65,7.870369
1050.0,273,7.916263
-330.0,176,7.952735
820.0,72,7.973419
540.0,352,8.022283
2270.0,186,8.054685
-330.0,36,8.072304
760.0,1064,8.462474
1040.0,136,8.490931
1990.0,112,8.515426
880.0,580,8.590483
960.0,122,8.617769
710.0,381,8.674536
860.0,228,8.982252
670.0,225,9.018734
1160.0,178,9.04897
780.0,70,9.067537
1030.0,159,9.09505
2070.0,128,9.11964
830.0,153,9.14722
1940.0,137,9.172978
2000.0,57,9.190348
2190.0,176,9.224656
1040.0,80,9.245889
690.0,365,9.295585
2110.0,162,9.325748
720.0,108,9.631421
820.0,504,9.705642
